days	GPP	GPP_sd	NEE	NEE_sd	Reco	Rec_sd	Foliage	Foliage_sd	FoliageNPP	FNPP_sd	Wood	Wood_sd	WoodNPP	WNPP_sd	Root	Root_sd	RootNPP	RNPP_sd	SoilC	SoilC_sd	Phenology	Pheno_sd
935	12.1785711	1.35381825	-7.4663151	1.53971782	4.712256	0.903881106	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
936	12.012357	3.48041267	-5.539269	2.75178257	6.473088	1.143222651	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
940	9.7622903	3.04393956	-5.5010423	2.80363833	4.261248	0.360949379	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
944	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	377.55	37.7	106	8.08	-9999	-9999	-9999	-9999
991	6.55295	4.24360817	-2.4531466	1.58374897	4.099803	0.831702754	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
992	0.2090666	1.64948174	6.0713494	2.81330344	6.280416	1.669890063	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1002	-9999	-9999	-9999	-9999	-9999	-9999	442.2932	30	219.94	41.16419835	469.6468	30	53.45	80.67381715	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1033	2.7302578	0.23309433	-1.7683378	0.23936387	0.96192	0.241252565	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1034	1.5170111	0.42479709	-0.3782591	0.6613668	1.138752	0.27150834	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1096	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	151	12.6
1263	10.924338	3.47999895	-6.114738	2.77857564	4.8096	1.182775292	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1264	7.2102492	1.19061336	0.6417828	0.17595079	7.852032	1.14662566	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1286	11.4553044	2.39588929	-4.5709524	0.7331283	6.884352	0.469202119	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1287	16.250222	2.05275927	-8.116526	1.03371092	8.133696	1.019048352	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1320	14.3561037	1.762934344	-7.7516877	0.92489108	6.604416	0.903881106	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1350	9.0190088	3.24925439	-6.4149128	3.53064908	2.604096	0.764143405	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1367	-9999	-9999	-9999	-9999	-9999	-9999	510.1114	30	301.35	48.23180006	540.4186	30	112.3	66.66833059	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1390	0.6514667	0.762934344	0.6721813	1.53971782	1.323648	0.627702273	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1391	1.9486028	0.86509141	-0.1964108	0.70380318	1.752192	0.161288228	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1434	1.565609	1.762934344	-1.083497	0.9357718	0.482112	0.493847768	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1461	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	151	11.75
1559	1.14048	0.14	-0.663552	0.06	0.476928	0.04	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1560	0.642816	0.06	-0.269568	0.02	0.373248	0.03	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1630	7.068384	3.42741863	-3.61584	2.038595504	3.452544	1.487437668	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1663	10.396512	0.683679	-6.184512	0.973396373	4.212	0.44064	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1713	6.832512	0.73843649	-3.167424	1.298016735	3.665088	0.660602444	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1732	-9999	-9999	-9999	-9999	-9999	-9999	517.4376	30	-9999	-9999	560.8424	30	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1744	4.852224	1.55549949	-2.102112	1.342095451	2.750112	0.252884992	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1745	4.999968	1.50132972	-1.702944	0.430521759	3.297024	1.17178278	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1785	1.213056	0.12	0.228096	0.05	1.441152	0.15	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1826	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	148	15.26
1908	0.736128	0.1	-0.383616	0.05	0.352512	0.05	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1909	1.026432	0.1	-0.321408	0.05	0.705024	0.1	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1959	3.753216	1.60439566	-2.47536	1.173688588	1.277856	0.799541324	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1960	2.503872	0.48055801	-1.679616	0.314135002	0.824256	0.199162776	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
1994	11.885184	4.92001384	-5.704128	5.474843646	6.181056	1.734667929	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2025	16.032384	4.03359619	-7.779456	1.269152184	8.252928	3.1060943	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2026	12.239424	1.35628737	-5.85792	1.114355032	6.381504	0.241932343	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2078	7.7537088	2.86276148	-4.4637696	3.062755822	3.2899392	0.47561415	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2097	-9999	-9999	-9999	-9999	-9999	-9999	535.0438	30	-9999	-9999	550.0062	30	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2118	3.1705344	1.61141603	-0.8989056	1.065968564	2.2716288	0.545447463	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2119	2.105568	0.336552	-1.0291968	0.268014438	1.0763712	0.234523534	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2168	0.1404864	0.22360413	0.033696	0.437677602	0.1741824	0.214073467	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
2192	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	144	14.96
2557	-9999	-9999	-9999	-9999	-9999	-9999	571.5242	30	-9999	-9999	601.9058	30	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
